landuse;unit;geo\time;2016 ;2013 
L0008;KM2;DEC06;474 ;474
L0008;KM2;DED;18176 ;18174
L0008;KM2;DED2;7769 ;7768
L0008;KM2;DED21;324 ;324
L0008;KM2;DED2C;2304 ;2304
L0008;KM2;DED2D;2059 ;2059
L0008;KM2;DED2E;1437 ;1437
L0008;KM2;DED2F;1645 ;1645
L0008;KM2;DED4;6509 ;6509
L0008;KM2;DED41;221 ;221
L0008;KM2;DED42;1821 ;1821
L0008;KM2;DED43;2113 ;2113
L0008;KM2;DED44;1405 ;1405
L0008;KM2;DED45;949 ;949
L0008;KM2;DED5;3898 ;3897
L0008;KM2;DED51;293 ;293
L0008;KM2;DED52;1607 ;1607
L0008;KM2;DED53;1998 ;1998
L0008;KM2;DEE;20247 ;20248
L0008;KM2;DEE0;20247 ;20248
L0008;KM2;DEE01;240 ;240
L0008;KM2;DEE02;134 ;134
L0008;KM2;DEE03;192 ;192
L0008;KM2;DEE04;2288 ;2288
L0008;KM2;DEE05;1418 ;1418
L0008;KM2;DEE06;1564 ;1564
L0008;KM2;DEE07;2361 ;2361
L0008;KM2;DEE08;1411 ;1411
L0008;KM2;DEE09;2097 ;2097
L0008;KM2;DEE0A;1439 ;1439
L0008;KM2;DEE0B;1402 ;1402
L0008;KM2;DEE0C;1407 ;1407
L0008;KM2;DEE0D;2391 ;2391
L0008;KM2;DEE0E;1903 ;1903
L0008;KM2;DEF;15408 ;15405
L0008;KM2;DEF0;15408 ;15405
L0008;KM2;DEF01;57 ;57
L0008;KM2;DEF02;117 ;117
L0008;KM2;DEF03;190 ;190
L0008;KM2;DEF04;70 ;70
L0008;KM2;DEF05;1398 ;1398
L0008;KM2;DEF06;1224 ;1224
L0008;KM2;DEF07;2053 ;2053
L0008;KM2;DEF08;1360 ;1360
L0008;KM2;DEF09;640 ;640
L0008;KM2;DEF0A;989 ;989
L0008;KM2;DEF0B;2140 ;2140
L0008;KM2;DEF0C;2059 ;2059
L0008;KM2;DEF0D;1331 ;1331
L0008;KM2;DEF0E;1016 ;1016
L0008;KM2;DEF0F;764 ;764
L0008;KM2;DEG;16145 ;16146
L0008;KM2;DEG0;16145 ;16146
L0008;KM2;DEG01;267 ;267
L0008;KM2;DEG02;152 ;152
L0008;KM2;DEG03;115 ;115
L0008;KM2;DEG04;103 ;103
L0008;KM2;DEG05;84 ;84
L0008;KM2;DEG06;943 ;943
L0008;KM2;DEG07;709 ;709
L0008;KM2;DEG09;978 ;978
L0008;KM2;DEG0A;1037 ;1037
L0008;KM2;DEG0B;1210 ;1210
L0008;KM2;DEG0C;932 ;932
L0008;KM2;DEG0D;802 ;802
L0008;KM2;DEG0E;936 ;936
L0008;KM2;DEG0F;843 ;843
L0008;KM2;DEG0G;804 ;804
L0008;KM2;DEG0H;432 ;432
L0008;KM2;DEG0I;1029 ;1029
L0008;KM2;DEG0J;815 ;815
L0008;KM2;DEG0K;1135 ;1135
L0008;KM2;DEG0L;842 ;842
L0008;KM2;DEG0M;567 ;567
L0008;KM2;DEG0N;104 ;104
L0008;KM2;DEG0P;1306 ;1306
L0008;KM2;DK;41987 ;41987 
L0008;KM2;DK0;41987 ;41987 
L0008;KM2;DK01;2435 ;2435 
L0008;KM2;DK011;174 ;174 
L0008;KM2;DK012;330 ;330 
L0008;KM2;DK013;1350 ;1350 
L0008;KM2;DK014;581 ;581 
L0008;KM2;DK02;7077 ;7077 
L0008;KM2;DK021;791 ;791 
L0008;KM2;DK022;6286 ;6286 
L0008;KM2;DK03;11990 ;11990 
L0008;KM2;DK031;3412 ;3412 
L0008;KM2;DK032;8578 ;8578 
L0008;KM2;DK04;12767 ;12767 
L0008;KM2;DK041;7013 ;7013 
L0008;KM2;DK042;5754 ;5754 
L0008;KM2;DK05;7718 ;7718 
L0008;KM2;DK050;7718 ;7718 
L0008;KM2;EA19;2778836 ;2474784 
L0008;KM2;EE;43466 ;43465 
L0008;KM2;EE0;43466 ;43465 
L0008;KM2;EE00;43466 ;43465 
L0008;KM2;EE001;4338 ;4338 
L0008;KM2;EE004;11193 ;11193 
L0008;KM2;EE006;9068 ;9068 
L0008;KM2;EE007;3337 ;3337 
L0008;KM2;EE008;15530 ;15530 
L0008;KM2;EL;130048 ;130051 
L0008;KM2;EL3;3788 ;3788 
L0008;KM2;EL30;3788 ;3788 
L0008;KM2;EL301;134 ;134 
L0008;KM2;EL302;68 ;68 
L0008;KM2;EL303;88 ;88 
L0008;KM2;EL304;70 ;70 
