ANO;GEO_COD;GEO_COD_DSG;NIVEL;NIVEL_DSG;N_ALOJAMENTOS;N_ALOJAMENTOS_FAMILIARES;N_ALOJAMENTOS_FAM_CLASSICOS;N_ALOJAMENTOS_FAM_N_CLASSICOS;N_ALOJAMENTOS_COLECTIVOS;N_CLASSICOS_RES_HABITUAL;N_ALOJAMENTOS_RES_HABITUAL;N_ALOJAMENTOS_VAGOS
2011;'110605019; ;7;Secção;329;328;326;2;1;244;246;73
2011;'110605020; ;7;Secção;299;299;298;1;0;200;201;84
2011;'110605021; ;7;Secção;299;299;299;0;0;190;190;56
2011;'110605022; ;7;Secção;423;423;423;0;0;314;314;58
2011;'110606001; ;7;Secção;296;296;296;0;0;210;210;44
2011;'110606002; ;7;Secção;304;304;304;0;0;214;214;58
2011;'110606003; ;7;Secção;353;350;350;0;3;248;248;66
2011;'110606004; ;7;Secção;230;228;227;1;2;175;176;40
2011;'110606005; ;7;Secção;260;259;257;2;1;148;150;64
2011;'110606006; ;7;Secção;263;261;261;0;2;174;174;72
2011;'110606007; ;7;Secção;354;347;347;0;7;230;230;81
2011;'110606008; ;7;Secção;328;327;327;0;1;209;209;81
2011;'110606009; ;7;Secção;347;347;347;0;0;271;271;49
2011;'110606010; ;7;Secção;325;324;324;0;1;246;246;57
2011;'110606011; ;7;Secção;245;245;245;0;0;191;191;44
2011;'110606012; ;7;Secção;333;328;328;0;5;219;219;67
2011;'110606013; ;7;Secção;342;337;336;1;5;217;218;89
2011;'110606014; ;7;Secção;352;350;350;0;2;236;236;65
2011;'110606015; ;7;Secção;427;426;425;1;1;285;286;94
2011;'110606016; ;7;Secção;384;383;383;0;1;232;232;100
2011;'110606017; ;7;Secção;397;394;394;0;3;289;289;79
2011;'110606018; ;7;Secção;253;253;253;0;0;193;193;45
2011;'110606019; ;7;Secção;273;273;273;0;0;177;177;56
2011;'110607001; ;7;Secção;348;348;348;0;0;258;258;43
2011;'110607002; ;7;Secção;385;385;385;0;0;285;285;22
2011;'110607003; ;7;Secção;424;424;424;0;0;316;316;39
2011;'110607004; ;7;Secção;255;255;253;2;0;176;178;58
2011;'110607005; ;7;Secção;336;336;336;0;0;286;286;27
2011;'110607006; ;7;Secção;210;210;210;0;0;196;196;9
2011;'110607007; ;7;Secção;386;386;386;0;0;283;283;83
2011;'110607008; ;7;Secção;305;305;305;0;0;195;195;94
2011;'110607009; ;7;Secção;369;369;369;0;0;220;220;106
2011;'110607010; ;7;Secção;299;299;299;0;0;196;196;38
2011;'110607011; ;7;Secção;357;357;357;0;0;255;255;59
2011;'110607012; ;7;Secção;304;304;303;1;0;232;233;54
2011;'110607013; ;7;Secção;279;279;279;0;0;221;221;44
2011;'110607014; ;7;Secção;307;307;307;0;0;262;262;33
2011;'110607015; ;7;Secção;488;488;486;2;0;337;339;75
2011;'110607016; ;7;Secção;359;358;358;0;1;217;217;112
2011;'110607017; ;7;Secção;283;283;283;0;0;205;205;31
2011;'110607018; ;7;Secção;286;284;284;0;2;156;156;118
2011;'110607019; ;7;Secção;283;282;282;0;1;216;216;51
2011;'110607020; ;7;Secção;261;261;261;0;0;199;199;40
2011;'110607021; ;7;Secção;328;328;328;0;0;263;263;49
2011;'110607022; ;7;Secção;224;224;224;0;0;180;180;23
2011;'110607023; ;7;Secção;247;247;247;0;0;180;180;31
2011;'110607024; ;7;Secção;317;317;317;0;0;207;207;62
2011;'110608001; ;7;Secção;213;213;213;0;0;154;154;44
2011;'110608002; ;7;Secção;266;266;266;0;0;209;209;23
2011;'110608003; ;7;Secção;361;360;360;0;1;287;287;46
2011;'110608004; ;7;Secção;225;224;224;0;1;179;179;11
2011;'110608005; ;7;Secção;484;484;484;0;0;363;363;81
2011;'110608006; ;7;Secção;269;269;269;0;0;215;215;27
2011;'110608007; ;7;Secção;249;249;247;2;0;178;180;12
2011;'110608008; ;7;Secção;334;334;334;0;0;267;267;54
2011;'110608009; ;7;Secção;427;427;427;0;0;340;340;46
2011;'110608010; ;7;Secção;248;248;248;0;0;199;199;24
2011;'110608011; ;7;Secção;457;457;457;0;0;340;340;84
2011;'110608012; ;7;Secção;305;305;305;0;0;241;241;29
2011;'110608013; ;7;Secção;355;355;355;0;0;263;263;38
2011;'110608014; ;7;Secção;307;307;307;0;0;224;224;24
2011;'110608015; ;7;Secção;206;206;206;0;0;165;165;20
2011;'110608016; ;7;Secção;300;300;300;0;0;221;221;0
2011;'110608017; ;7;Secção;357;357;356;1;0;297;298;39
2011;'110608018; ;7;Secção;430;430;430;0;0;344;344;13
2011;'110608019; ;7;Secção;268;268;268;0;0;219;219;20
2011;'110608020; ;7;Secção;272;272;272;0;0;211;211;41
2011;'110608021; ;7;Secção;460;460;460;0;0;378;378;36
2011;'110608022; ;7;Secção;316;316;316;0;0;247;247;30
2011;'110608023; ;7;Secção;278;278;278;0;0;226;226;11
2011;'110608024; ;7;Secção;328;328;327;1;0;248;249;49
2011;'110608025; ;7;Secção;314;311;311;0;3;243;243;38
2011;'110608026; ;7;Secção;354;354;354;0;0;280;280;18
2011;'110608027; ;7;Secção;351;351;351;0;0;247;247;50
2011;'110608028; ;7;Secção;345;345;345;0;0;277;277;28
2011;'110608029; ;7;Secção;330;330;330;0;0;244;244;70
2011;'110608030; ;7;Secção;404;404;404;0;0;316;316;43
2011;'110608031; ;7;Secção;300;300;300;0;0;224;224;70
2011;'110608032; ;7;Secção;321;321;321;0;0;257;257;36
2011;'110608033; ;7;Secção;293;293;293;0;0;216;216;14
2011;'110608034; ;7;Secção;435;435;435;0;0;316;316;57
2011;'110608035; ;7;Secção;370;370;370;0;0;302;302;34
2011;'110608036; ;7;Secção;363;363;363;0;0;259;259;72
2011;'110608037; ;7;Secção;399;399;399;0;0;308;308;15
2011;'110608038; ;7;Secção;375;375;375;0;0;285;285;78
2011;'110608039; ;7;Secção;311;311;311;0;0;247;247;31
2011;'110608040; ;7;Secção;307;307;307;0;0;253;253;5
2011;'110608041; ;7;Secção;580;580;580;0;0;447;447;91
2011;'110608042; ;7;Secção;311;311;311;0;0;229;229;1
2011;'110608043; ;7;Secção;305;305;305;0;0;236;236;19
2011;'110608044; ;7;Secção;398;398;397;1;0;316;317;47
2011;'110608045; ;7;Secção;251;251;251;0;0;206;206;38
2011;'110608046; ;7;Secção;293;293;293;0;0;203;203;51
2011;'110608047; ;7;Secção;281;281;281;0;0;234;234;28
2011;'110608048; ;7;Secção;199;199;199;0;0;140;140;30
2011;'110608049; ;7;Secção;278;277;277;0;1;215;215;48
2011;'110608050; ;7;Secção;262;262;262;0;0;184;184;39
2011;'110608051; ;7;Secção;262;261;261;0;1;204;204;43
2011;'110608052; ;7;Secção;289;287;287;0;2;200;200;64
2011;'110608053; ;7;Secção;468;468;468;0;0;358;358;32
2011;'110608054; ;7;Secção;355;355;355;0;0;279;279;60
2011;'110608055; ;7;Secção;338;338;338;0;0;263;263;53
2011;'110608056; ;7;Secção;399;399;399;0;0;294;294;46
